                   name_en                    | st_issimple 
----------------------------------------------+-------------
 Faroe Islands                                | t
 Egypt                                        | t
 Ireland                                      | t
 Somalia                                      | t
 Netherlands                                  | t
 Saint Lucia                                  | t
 French Polynesia                             | t
 Kuwait                                       | t
 Ecuador                                      | t
 Palau                                        | t
 Yemen                                        | t
 South Africa                                 | t
 Papua New Guinea                             | t
 Guinea                                       | t
 Togo                                         | t
 Guyana                                       | t
 French Guiana                                | t
 Nicaragua                                    | t
 Wallis and Futuna                            | t
 Switzerland                                  | t
 Slovakia                                     | t
 Hungary                                      | t
 Guernsey                                     | t
 India                                        | t
 Norway                                       | t
 Portugal                                     | t
 Vietnam                                      | t
 Estonia                                      | t
 Tonga                                        | t
 Curaçao                                      | t
 Sri Lanka                                    | t
 Mongolia                                     | t
 Ethiopia                                     | t
 Andorra                                      | t
 Côte d'Ivoire                                | t
 Senegal                                      | t
 Hong Kong                                    | t
 Israel                                       | t
 Indonesia                                    | t
 Akrotiri and Dhekelia                        | t
 Japan                                        | t
 Iraq                                         | t
 Suriname                                     | t
 Jamaica                                      | t
 Venezuela                                    | t
 Zimbabwe                                     | t
 Micronesia                                   | t
 Haiti                                        | t
 Democratic Republic of the Congo             | t
 Nigeria                                      | t
 Morocco                                      | t
 Macedonia                                    | t
 Montenegro                                   | t
 Dominica                                     | t
 Seychelles                                   | t
 Ukraine                                      | t
 Nauru                                        | t
 Albania                                      | t
 United States                                | t
 Cook Islands                                 | t
 Northern Cyprus                              | t
 Svalbard and Jan Mayen                       | t
 Uganda                                       | t
 Cuba                                         | t
 Taiwan                                       | t
 Poland                                       | t
 Madagascar                                   | t
 United Kingdom                               | t
 Tunisia                                      | t
 Saint Helena                                 | t
 Iran                                         | t
 East Timor                                   | t
 Marshall Islands                             | t
 Virgin Islands, U.S.                         | t
 Mozambique                                   | t
 American Samoa                               | t
 Rwanda                                       | t
 Moldova                                      | t
 Saudi Arabia                                 | t
 Solomon Islands                              | t
 Saint-Barthélemy                             | t
 Palestina                                    | t
 Grenada                                      | t
 Laos                                         | t
 Russia                                       | t
 Italy                                        | t
 Macao                                        | t
 Vatican City                                 | t
 North Korea                                  | t
 South Korea                                  | t
 Equatorial Guinea                            | t
 Uruguay                                      | t
 Kiribati                                     | t
 Vanuatu                                      | t
 Romania                                      | t
 Pakistan                                     | t
 Georgia                                      | t
 Singapore                                    | t
 United Arab Emirates                         | t
 Algeria                                      | t
 Anguilla                                     | t
 South Georgia and the South Sandwich Islands | t
 Northern Mariana Islands                     | t
 Nepal                                        | t
 Mauritania                                   | t
 San Marino                                   | t
 Kazakhstan                                   | t
 Tanzania                                     | t
 Kyrgyzstan                                   | t
 Luxembourg                                   | t
 Thailand                                     | t
 Peru                                         | t
 Mayotte                                      | t
 Guam                                         | t
 Jersey                                       | t
 Spain                                        | t
 Saint Pierre and Miquelon                    | t
 South Sudan                                  | t
 Qatar                                        | t
 Colombia                                     | t
 Samoa                                        | t
 Czech Republic                               | t
 Trinidad and Tobago                          | t
 Costa Rica                                   | t
 Tajikistan                                   | t
 Falkland Islands                             | t
 Sierra Leone                                 | t
 Eritrea                                      | t
 Germany                                      | t
 Saint Kitts and Nevis                        | t
 Heard Island and McDonald Islands            | t
 Gambia                                       | t
 Isle of Man                                  | t
 Sweden                                       | t
 El Salvador                                  | t
 Lithuania                                    | t
 Tuvalu                                       | t
 New Caledonia                                | t
 France                                       | t
 Denmark                                      | t
 Cyprus                                       | t
 Malaysia                                     | t
 Republic of Congo                            | t
 Namibia                                      | t
 Uzbekistan                                   | t
 French Southern Territories                  | t
 Tokelau                                      | t
 Angola                                       | t
 Liberia                                      | t
 Lesotho                                      | t
 Turks and Caicos Islands                     | t
 Turkmenistan                                 | t
 Djibouti                                     | t
 Iceland                                      | t
 United States Minor Outlying Islands         | t
 Reunion                                      | t
